排名,cities,pop,GDP,GDP_Average,GDP_Avrg(Dollar),lon,lat
1,重庆市,2884.62,7894.24,27367,4043,106.504959,29.533155
2,上海市,2301.91,16872.42,73297,10828,121.472641,31.231707
3,北京市,1961.24,13777.9,70251,10378,116.405289,39.904987
4,成都市,1404.76,5551.3,39518,5838,104.065735,30.659462
5,天津市,1293.82,9108.83,70402,10400,117.190186,39.125595
6,广州市,1270.08,10604.48,83495,12334,113.28064,23.125177
7,保定市,1119.44,2050.3,18315,2706,115.48233,38.867657
8,哈尔滨市,1063.6,3665.9,34467,5092,126.642464,45.756966
9,苏州市,1046.6,9000,85993,12703,120.619583,31.299379
10,深圳市,1035.79,9510.91,91822,13564,114.085945,22.547001
11,南阳市,1026.3,1955.84,19057,2815,112.540916,32.999081
12,石家庄市,1016.38,3401,33462,4943,114.502464,38.045475
13,临沂市,1003.94,2400,23906,3531,118.326447,35.065281
14,武汉市,978.54,5515.76,56367,8327,114.298569,30.584354
15,邯郸市,917.47,2342.2,25529,3771,114.490685,36.612274
16,温州市,912.21,2925.57,32071,4738,120.672112,28.000574
17,潍坊市,908.62,3090.9,34018,5025,119.107079,36.709251
18,周口市,895.32,1227.9,13715,2026,114.649651,33.620358
19,青岛市,871.51,5666.19,65016,9604,120.355171,36.082981
20,杭州市,870.04,5945.82,68340,10095,120.15358,30.287458
21,郑州市,862.65,4000,46369,6850,113.665413,34.757977
22,徐州市,858.05,2866.93,33412,4936,117.184814,34.261791
23,西安市,846.78,3241.49,38280,5655,108.948021,34.263161
24,赣州市,836.84,1119.47,13377,1976,114.940277,25.850969
25,菏泽市,828.78,1151.58,13895,2053,115.469383,35.246532
26,东莞市,822.02,4246.25,51656,7631,113.746262,23.046238
27,泉州市,812.85,3564.76,43855,6478,118.589424,24.908854
28,沈阳市,810.62,5017,61891,9143,123.429092,41.796768
29,济宁市,808.19,2542.8,31463,4648,116.587242,35.415394
30,南京市,800.47,5010.36,62593,9246,118.76741,32.041546
31,长春市,767.71,3369.7,43893,6484,125.324501,43.886841
32,宁波市,760.57,5125.82,67394,9956,121.549789,29.868387
33,阜阳市,760,720,9474,1399,115.819733,32.896969
34,唐山市,757.73,4469.08,58980,8713,118.175392,39.635113
35,商丘市,736.25,1140,15484,2287,115.650497,34.437054
36,南通市,728.28,3417.88,46931,6933,120.864609,32.016212
37,盐城市,726.02,2266.26,31215,4611,120.139999,33.377632
38,驻马店市,723.07,1055.45,14597,2156,114.024734,32.980167
39,佛山市,719.43,5651.52,78555,11604,113.122719,23.028763
40,衡阳市,714.15,1420.34,19889,2938,112.607697,26.900358
41,沧州市,713.41,2203,30880,4562,116.85746,38.310581
42,福州市,711.54,3068.21,43121,6370,119.306236,26.075302
43,邢台市,710.41,1210.62,17041,2517,114.50885,37.068199
44,邵阳市,707.18,730.33,10327,1526,111.469231,27.237843
45,长沙市,704.41,4547.06,64551,9536,112.982277,28.19409
46,湛江市,699.33,1402.77,20059,2963,110.364975,21.274899
47,烟台市,696.82,4358.46,62548,9240,121.39138,37.539295
48,济南市,681.4,3910.8,57394,8478,117.000923,36.675808
49,大连市,669.04,5158.1,77097,11389,121.618622,38.914589
50,南宁市,666.16,1800.43,27027,3992,108.320007,22.82402
51,上饶市,657.97,901,13694,2023,117.971184,28.44442
52,洛阳市,654.95,2321.2,35441,5235,112.434471,34.66304
53,毕节地区,653.64,600.85,9192,1358,105.285011,27.301693
54,昆明市,643.2,2120.37,32966,4870,102.71225,25.040609
55,无锡市,637.26,5758,90355,13347,120.301666,31.57473
56,南充市,627.86,827.82,13185,1948,106.082977,30.79528
57,黄冈市,616.21,862.3,13994,2067,114.879364,30.447712
58,遵义市,612.7,908.76,14832,2191,106.937263,27.706627
59,信阳市,610.87,1092.23,17880,2641,114.075027,32.123276
60,台州市,596.88,2415.12,40462,5977,121.428596,28.661379
61,揭阳市,587.7,1008.99,17168,2536,116.355736,23.543777
62,曲靖市,585.5,1005.5,17173,2537,103.797852,25.501556
63,茂名市,581.78,1492.09,25647,3789,110.919228,21.659752
64,聊城市,578.99,1606.51,27747,4099,115.98037,36.456013
65,常德市,571.72,1491.6,26090,3854,111.691345,29.040224
66,新乡市,570.78,1181.45,20699,3058,113.883987,35.302616
67,合肥市,570.2,2702.5,47396,7001,117.283043,31.861191
68,荆州市,569.17,837.1,14707,2173,112.238129,30.326857
69,六安市,561.2,676.1,12047,1780,116.507675,31.75289
70,德州市,556.82,1657.82,29773,4398,116.307426,37.453968
71,襄阳市,550.03,1538.3,27968,4131,112.14415,32.042427
72,泰安市,549.42,2051.7,37343,5516,117.129066,36.194969
73,玉林市,548.74,835.82,15232,2250,110.154396,22.631359
74,岳阳市,547.79,1539.36,28101,4151,113.132858,29.370291
75,达州市,546.81,819.2,14981,2213,107.502258,31.209484
76,宜春市,541.96,870,16053,2371,114.391136,27.8043
77,绥化市,541.64,733.4,13540,2000,126.992928,46.637394
78,汕头市,539.1,1203.25,22319,3297,116.708466,23.371019
79,齐齐哈尔市,536.7,852.6,15886,2347,123.957916,47.342079
80,金华市,536.16,2094.7,39069,5771,119.649506,29.089523
81,宿州市,535.3,650.3,12148,1795,116.984085,33.633892
82,安庆市,531.1,988.11,18605,2748,117.043549,30.508829
83,渭南市,528.61,801.42,15161,2240,109.502884,34.499382
84,昭通市,521.3,379.62,7282,1076,103.717216,27.337
85,永州市,518.02,767.01,14806,2187,111.608017,26.434517
86,安阳市,517.28,1311.3,25350,3745,114.352486,36.103443
87,运城市,513.48,827,16106,2379,111.00396,35.022778
88,南昌市,504.26,2207.11,43770,6466,115.892151,28.676493
89,绍兴市,491.22,2782.74,56650,8368,120.582115,29.997116
90,平顶山市,490.44,1312.1,26754,3952,113.307716,33.735241
91,咸阳市,489.48,1098.7,22446,3316,108.705116,34.333439
93,孝感市,481.45,800.67,16630,2457,113.926659,30.926422
94,吉安市,481.03,720.53,14979,2213,114.986374,27.111698
95,漳州市,481,1400.71,29121,4302,117.661804,24.510897
96,淮安市,479.99,1345.07,28023,4140,119.021263,33.597507
97,桂林市,474.8,1108.63,23349,3449,110.299118,25.274216
98,怀化市,474.19,674.92,14233,2103,109.978241,27.550081
99,九江市,472.88,1032.06,21825,3224,115.992813,29.712034
100,宿迁市,471.56,1015.21,21529,3180,118.275162,33.963009
101,开封市,467.62,930.22,19893,2939,114.341446,34.79705
102,泰州市,461.86,2002.58,43359,6405,119.915176,32.484882
103,绵阳市,461.39,960.2,20811,3074,104.741722,31.46402
104,惠州市,459.7,1729.9,37631,5559,114.412598,23.079405
105,常州市,459.2,2976.7,64824,9576,119.946976,31.772753
106,郴州市,458.18,1081.8,23611,3488,113.032066,25.793589
107,凉山州,453.28,784.19,17300,2556,102.258743,27.886763
108,淄博市,453.06,2866.75,63275,9347,118.047646,36.814938
109,嘉兴市,450.17,2296,51003,7534,120.750862,30.762653
110,红河州,450.1,650.42,14451,2135,103.384186,23.366776
111,宜宾市,447.2,870.85,19473,2877,104.630821,28.760189
112,扬州市,445.98,2207.99,49509,7314,119.421005,32.393158
113,江门市,444.89,1550.37,34849,5148,113.09494,22.590431
114,吉林市,441.47,1800.6,40787,6025,126.553017,43.843578
115,连云港市,439.39,1150.81,26191,3869,119.178818,34.600018
116,廊坊市,435.88,1331.1,30538,4511,116.704437,39.523926
117,张家口市,434.55,966.12,22233,3284,114.884094,40.811901
118,赤峰市,434.12,1080.18,24882,3676,118.956802,42.275318
119,衡水市,434.08,781.5,18004,2660,115.665993,37.735096
120,贵阳市,432.46,1121.82,25941,3832,106.713478,26.578342
121,临汾市,431.66,892.1,20667,3053,111.517975,36.084148
122,益阳市,431.31,712.27,16514,2439,112.355042,28.570066
123,许昌市,430.72,1312.78,30479,4502,113.826065,34.022957
124,梅州市,424.01,612.36,14442,2133,116.117584,24.299112
125,泸州市,421.84,714.81,16945,2503,105.443352,28.889137
126,太原市,420.16,1778.05,42318,6251,112.549248,37.857014
127,贵港市,411.88,527.8,12814,1893,109.602142,23.093599
128,宜昌市,405.97,1547.32,38114,5630,111.29084,30.702637
129,喀什地区,397.94,375,9424,1392,75.989136,39.467663
130,滁州市,393.8,695.65,17665,2610,118.316261,32.303627
131,肇庆市,391.81,1065.9,27205,4019,112.472527,23.051546
132,抚州市,391.23,630.01,16103,2379,,
133,巢湖市,387.3,625,16137,2384,,
134,株洲市,385.56,1274.8,33064,4884,,
135,娄底市,378.56,680.72,17982,2656,,
136,柳州市,375.87,1260.3,33530,4953,,
137,湘潭市,374.86,894.01,23849,3523,,
138,滨州市,374.85,1551.52,41390,6114,,
139,枣庄市,372.93,1362.04,36523,5395,,
140,吕梁市,372.71,845.5,22685,3351,,
141,宝鸡市,371.67,976.09,26262,3879,,
142,内江市,370.28,690.28,18642,2754,,
143,清远市,369.84,1112.5,30081,4444,,
144,资阳市,366.51,657.9,17951,2652,,
145,鞍山市,364.59,2200,60342,8914,,
146,兰州市,361.62,1100.39,30430,4495,,
147,德阳市,361.58,921.3,25480,3764,,
148,濮阳市,359.85,774.81,21532,3181,,
149,焦作市,353.99,1247.61,35245,5206,,
150,厦门市,353.13,2053.74,58157,8591,,
151,文山州,351.8,329.9,9377,1385,,
152,黔东南州,348.06,312.57,8980,1327,,
153,承德市,347.32,880.5,25351,3745,,
154,百色市,346.68,563.51,16254,2401,,
155,大理州,345.6,474.9,13741,2030,,
156,汉中市,341.62,509.7,14920,2204,,
157,四平市,338.63,789.1,23303,3442,,
158,河池市,336.92,467,13861,2048,,
159,榆林市,335.14,1756.67,52415,7743,,
160,十堰市,334.08,736.8,22054,3258,,
161,长治市,333.46,920.2,27596,4076,,
162,大同市,331.81,694.3,20925,3091,,
163,恩施州,329.03,351.13,10672,1576,,
164,巴中市,328.38,280.9,8554,1264,,
165,天水市,326.25,300.22,9202,1359,,
166,遂宁市,325.26,495.23,15226,2249,,
167,晋中市,324.94,763.8,23506,3472,,
168,乐山市,323.58,743.92,22991,3396,,
169,黔南州,323.12,356,11018,1628,,
170,广安市,320.55,537.2,16759,2476,,
171,蚌埠市,316.4,636.9,20130,2974,,
172,通辽市,313.92,1176.23,37470,5535,,
173,锦州市,312.65,916,29298,4328,,
174,中山市,312.09,1826.32,58519,8645,,
175,镇江市,311.34,1957,62858,9285,,
176,乌鲁木齐市,311.03,1311,42151,6227,,
177,铜仁地区,309.24,296.9,9601,1418,,
178,钦州市,307.97,504.18,16371,2418,,
179,忻州市,306.75,435.4,14194,2097,,
180,朝阳市,304.46,654.4,21494,3175,,
181,秦皇岛市,298.76,930.49,31145,4601,,
182,河源市,295.3,477.19,16159,2387,,
183,眉山市,295.05,552.25,18717,2765,,
184,汕尾市,293.57,469.99,16009,2365,,
185,大庆市,290.45,2900.1,99847,14750,,
186,湖州市,289.35,1301.56,44982,6645,,
187,梧州市,288.22,573.7,19905,2940,,
188,松原市,288.11,1102.8,38277,5654,,
189,荆门市,287.37,730.07,25405,3753,,
190,呼和浩特市,286.66,1865.71,65084,9614,,
191,六盘水市,285.12,500.64,17559,2594,,
192,韶关市,282.66,683.1,24167,3570,,
193,宁德市,282.2,736.45,26097,3855,,
194,黔西南州,280.59,324.52,11566,1709,,
195,威海市,280.48,1944.7,69335,10242,,
196,日照市,280.11,1025.08,36596,5406,,
197,牡丹江市,279.87,781,27906,4122,,
198,莆田市,277.85,816.98,29404,4344,,
199,铁岭市,271.77,722.1,26570,3925,,
200,定西市,269.86,156.02,5781,854,,
201,楚雄州,268.4,404.44,15069,2226,,
202,自贡市,267.89,647.73,24179,3572,,
203,潮州市,266.98,559.2,20945,3094,,
204,包头市,265.04,2460.8,92848,13716,,
205,南平市,264.55,728.73,27546,4069,,
206,安康市,262.99,327.06,12436,1837,,
207,葫芦岛市,262.35,531.4,20255,2992,,
208,陇南市,256.77,169.4,6597,975,,
209,龙岩市,255.95,991.49,38737,5722,,
210,佳木斯市,255.21,512.5,20082,2966,,
211,呼伦贝尔市,254.93,932.01,36560,5401,,
212,湘西州,254.78,303.44,11910,1759,,
213,漯河市,254.41,682,26807,3960,,
214,普洱市,254.3,247.3,9725,1437,,
215,宣城市,253.3,525.7,20754,3066,,
216,保山市,250.6,260.9,10411,1538,,
217,三明市,250.34,972.71,38856,5740,,
218,广元市,248.41,321.87,12957,1914,,
219,伊犁州,248.26,891.37,35904,5304,,
220,咸宁市,246.26,520.33,21129,3121,,
221,丹东市,244.47,728.9,29816,4404,,
222,临沧市,243,218.3,8984,1327,,
223,黄石市,242.93,687,28280,4177,,
224,营口市,242.85,1002.4,41276,6097,,
225,阳江市,242.18,641.8,26501,3915,,
226,阿克苏地区,237.09,606.3,25573,3778,,
227,云浮市,236.01,394.27,16705,2468,,
228,商洛市,234.17,285.9,12209,1804,,
229,淮南市,233.4,603.5,25857,3820,,
230,通化市,232.52,627.1,26969,3984,,
231,玉溪市,230.4,736.5,31966,4722,,
232,安顺市,229.73,232.92,10139,1498,,
233,晋城市,227.92,730.5,32051,4735,,
234,延边州,227.16,545,23992,3544,,
235,芜湖市,226.3,1108.63,48989,7237,,
236,三门峡市,223.39,874.39,39142,5782,,
237,庆阳市,221.12,357.61,16173,2389,,
238,西宁市,220.87,628.28,28446,4202,,
239,延安市,218.7,885.42,40485,5981,,
240,随州市,216.22,401.66,18576,2744,,
241,乌兰察布市,214.36,550,25658,3790,,
242,抚顺市,213.81,890.2,41635,6150,,
243,衢州市,212.27,752.78,35463,5239,,
244,丽水市,211.7,644.04,30422,4494,,
245,淮北市,211.4,461.6,21835,3226,,
246,来宾市,209.97,385.24,18347,2710,,
247,平凉市,206.8,231.89,11213,1656,,
248,海口市,204.62,590.55,28861,4263,,
249,东营市,203.53,2359.94,115950,17128,,
250,白城市,203.31,441.5,21716,3208,,
251,和田地区,201.44,100.59,4994,738,,
252,崇左市,199.43,389.2,19516,2883,,
253,银川市,199.31,763.26,38295,5657,,
254,贺州市,195.41,380,19446,2873,,
255,临夏州,194.67,106.38,5465,807,,
256,鄂尔多斯市,194.07,2643.2,136202,20120,,
257,鸡西市,186.22,419.5,22528,3328,,
258,辽阳市,185.88,735.3,39558,5844,,
259,萍乡市,185.45,520.39,28061,4145,,
260,阜新市,181.93,361.1,19848,2932,,
261,武威市,181.51,228.77,12604,1862,,
262,朔州市,171.49,670.1,39076,5772,,
263,本溪市,170.95,860.4,50329,7435,,
264,白银市,170.88,311.18,18211,2690,,
265,黑河市,167.39,261.4,15616,2307,,
266,巴彦淖尔市,166.99,608.6,36445,5384,,
267,兴安盟,161.33,261.39,16203,2393,,
268,景德镇市,158.75,461.5,29071,4294,,
269,鹤壁市,156.91,427.74,27260,4027,,
270,珠海市,156.02,1202.58,77077,11386,,
271,北海市,153.93,397.6,25830,3816,,
272,雅安市,150.73,286.54,19011,2808,,
273,张家界市,147.65,242.48,16422,2426,,
274,双鸭山市,146.26,376.7,25755,3805,,
275,昌吉州,142.86,557,38989,5760,,
276,池州市,140.3,300.8,21440,3167,,
277,海东地区,139.68,173.31,12407,1833,,
278,盘锦市,139.25,926.5,66535,9829,,
279,阳泉市,136.85,429.4,31377,4635,,
280,马鞍山市,136.6,811.01,59371,8770,,
281,黄山市,135.9,309.3,22759,3362,,
282,莱芜市,129.85,546.33,42074,6215,,
283,白山市,129.66,433.17,33409,4935,,
284,巴音郭楞州,127.85,638,49903,7372,,
285,吴忠市,127.38,210,16486,2435,,
286,丽江市,124.5,143.59,11533,1704,,
287,固原市,122.82,104.03,8470,1251,,
288,塔城地区,121.92,300.2,24622,3637,,
289,攀枝花市,121.41,523.99,43158,6375,,
290,德宏州,121.1,140.63,11613,1715,,
291,张掖市,119.95,212.69,17731,2619,,
292,辽源市,117.66,410.1,34853,5149,,
293,伊春市,114.81,202.4,17629,2604,,
294,新余市,113.89,631.22,55425,8187,,
295,版纳州,113.4,160.99,14196,2097,,
296,鹰潭市,112.49,342.7,30465,4500,,
297,舟山市,112.13,633.45,56492,8345,,
298,酒泉市,109.59,405.03,36957,5459,,
299,甘孜州,109.19,122.83,11249,1662,,
300,中卫市,108.08,169.23,15657,2313,,
301,鹤岗市,105.87,251,23709,3502,,
302,鄂州市,104.87,395.29,37694,5568,,
303,锡林郭勒盟,102.8,591.25,57513,8496,,
304,七台河市,92.04,302,32811,4847,,
305,阿坝州,89.87,132.76,14772,2182,,
306,防城港市,86.69,319.54,36860,5445,,
307,铜川市,83.44,187.73,22498,3323,,
308,石嘴山市,72.55,298.07,41086,6069,,
309,铜陵市,72.4,466.6,64448,9520,,
310,日喀则地区,70.33,86.3,12271,1813,,
311,甘南州,68.91,67.84,9844,1454,,
312,三亚市,68.54,230.79,33672,4974,,
313,济源市,67.57,343.4,50821,7507,,
314,昌都地区,65.75,67.5,10266,1517,,
315,吐鲁番地区,62.27,185.3,29759,4396,,
316,阿勒泰地区,60.33,134.86,22354,3302,,
317,哈密地区,57.24,165.96,28994,4283,,
318,拉萨市,55.94,178.91,31981,4724,,
319,怒江州,53.4,53.36,9993,1476,,
320,乌海市,53.29,391.12,73394,10842,,
321,克孜勒苏州,52.56,38,7230,1068,,
322,大兴安岭地区,51.16,98.18,19192,2835,,
323,海西州,48.93,365.49,74691,11033,,
324,金昌市,46.41,210.51,45364,6701,,
325,那曲地区,46.24,51.15,11062,1634,,
326,博尔塔拉州,44.37,128.27,28910,4271,,
327,海南州,44.17,69.89,15823,2337,,
328,迪庆州,40,77.1,19275,2847,,
329,克拉玛依市,39.1,710.2,181633,26831,,
330,玉树州,37.84,31.86,8418,1244,,
331,山南地区,32.9,54.03,16423,2426,,
332,海北州,27.33,54.53,19952,2947,,
333,黄南州,25.67,43.68,17015,2513,,
334,嘉峪关市,23.19,183.91,79322,11718,,
335,阿拉善盟,23.13,305.89,132229,19533,,
336,杨凌示范区,20.12,47.29,23509,3473,,
337,林芝地区,19.51,53.1,27216,4020,,
338,果洛州,18.17,20.43,11245,1661,,
339,阿里地区,9.55,18.5,19379,2863,,
